Price,Close,High,Low,Open,Volume
Ticker,EXE,EXE,EXE,EXE,EXE
Date,,,,,
2021-02-10,36.50529861450195,40.57045704887603,34.89059306203339,34.89059306203339,1836900
2021-02-11,34.72830581665039,36.894769533283174,34.687735984262765,36.894769533283174,1652100
2021-02-12,34.49300003051758,35.29629641428314,33.714048024931664,34.89870458700359,2088200
2021-02-16,35.33687210083008,36.95157786487924,34.898710364421085,35.864289349686906,1369100
2021-02-17,35.912960052490234,36.188839229191174,35.296290590306754,35.72633635873366,1910200
2021-02-18,34.890594482421875,36.513412830441496,34.712083473650004,35.8967432201174,1589500
2021-02-19,35.702003479003906,36.213192122768135,34.89870703880297,35.42612423740039,1048200
2021-02-22,35.572181701660156,36.53775759642938,35.41801505821048,36.3835909529797,1449400
2021-02-23,35.42612075805664,35.66143013710666,34.079181791993804,35.66143013710666,888400
2021-02-24,36.51340866088867,36.57832287313132,34.5984827336506,35.08533003963045,3153100
2021-02-25,36.31055450439453,36.91911128379779,35.783137390799766,36.77305740911862,2485000
2021-02-26,35.848060607910156,36.464730270744916,35.227333032181306,36.15639698696784,466100
2021-03-01,36.24564743041992,36.740607537011435,35.7669189745211,36.06713951144627,718900
2021-03-02,36.75682830810547,37.93337201644143,36.24563975436064,36.24563975436064,756600
2021-03-03,38.33908462524414,38.655533717382234,36.69192494294562,36.927231258073654,1214600
2021-03-04,37.47087097167969,39.58864913235951,37.15442193071005,38.671756019726494,679700
2021-03-05,36.53775405883789,38.20114533921766,35.71823215627489,38.13623111966239,968200
2021-03-08,36.00222396850586,36.61889667041683,34.89870700321704,36.261874655011425,1125500
2021-03-09,35.929203033447266,36.46473305091423,35.39286205239578,35.45047141970552,183400
2021-03-10,36.31055450439453,36.40792272242069,35.51537401740785,35.912962713261265,484300
2021-03-11,36.78929138183594,37.17876740660547,36.1158202943334,36.310559854358324,578900
2021-03-12,37.121971130371094,37.57636139949191,36.424158718795745,37.430307494963095,684300
2021-03-15,37.121971130371094,37.52767573288881,36.59455390898587,37.25990920949249,626800
2021-03-16,36.3592414855957,37.22339102952811,35.65737127919205,37.146306177505984,717600
2021-03-17,36.7406120300293,37.000262757816856,35.86429159756648,36.40793434159643,543100
2021-03-18,35.29629898071289,36.71626503166111,35.06910540305089,36.448498519176304,886900
2021-03-19,35.142127990722656,35.50725959656726,34.728307631021494,35.13401216665324,537100
2021-03-22,34.687747955322266,35.29630493699459,34.01427674320341,35.07722405215885,539100
2021-03-23,33.83576202392578,34.66339972468716,33.300232111113154,34.30637771929191,447000
2021-03-24,33.75461959838867,34.72831120311302,33.49496891649955,34.484889075752,688700
2021-03-25,34.20899963378906,34.34694075848594,32.45635650626208,33.389477993928864,675200
2021-03-26,35.158363342285156,35.1664760726434,34.192784379784825,34.29826844612531,325000
2021-03-29,34.501121520996094,35.304414941403444,34.355067609052824,35.215162524354234,204000
