Price,Close,High,Low,Open,Volume
Ticker,LNT,LNT,LNT,LNT,LNT
Date,,,,,
2015-01-02,23.755523681640625,23.901987617051134,23.494747560838924,23.819824456261767,1010800
2015-01-05,23.466163635253906,23.816243392440608,23.409006199148653,23.741226301614883,1835000
2015-01-06,23.391151428222656,23.898411515192116,23.369716022499446,23.523323257332976,2481200
2015-01-07,23.77695083618164,23.79838623968293,23.326848243907296,23.56261587908669,1501600
2015-01-08,24.15203857421875,24.252061370510173,23.841251121098857,23.90912490090381,2024000
2015-01-09,23.80910301208496,24.20562391636545,23.75909161203309,24.20562391636545,1109400
2015-01-12,23.74480438232422,23.905554936144362,23.641208551371427,23.86268957534813,907000
2015-01-13,23.90912628173828,24.2663521322197,23.73408637811913,23.92341564280757,908000
2015-01-14,24.348512649536133,24.35565596659146,23.77694917011041,23.79123852963772,1254600
2015-01-15,24.40566635131836,24.441388385948656,24.230626473838324,24.348511640993195,1691800
2015-01-16,24.8629207611084,24.887926463750237,24.294932918779264,24.359233686346446,2000800
2015-01-20,24.85219383239746,24.96293293614242,24.587847556321098,24.880772544788424,1297800
2015-01-21,25.030818939208984,25.030818939208984,24.53784817372656,24.780761897026018,784800
2015-01-22,25.02367401123047,25.20943026984781,24.827198686851105,25.11655077783055,881400
2015-01-23,25.077255249023438,25.291592953623724,24.970089122140422,25.102260951171186,772800
2015-01-26,25.06653594970703,25.06653594970703,24.73788883872936,25.009381233866776,970200
2015-01-27,25.012950897216797,25.177277173966047,24.90578478569563,24.966512521432634,1162400
2015-01-28,24.91573715209961,25.394609659263956,24.843727446703937,25.05255943814324,1057600
2015-01-29,25.31900405883789,25.34060642567731,24.800525278733677,24.922945100478177,886000
2015-01-30,24.703304290771484,25.257787760905703,24.685300492607197,25.22898278264041,916000
2015-02-02,24.818517684936523,24.87252632422727,24.350446473741417,24.757309175670652,1223600
2015-02-03,24.883329391479492,24.969741572707775,24.60968761276392,24.728506078823884,955000
2015-02-04,24.523279190063477,24.908536876369663,24.393659524858204,24.908536876369663,1332400
2015-02-05,24.775318145751953,24.807724438485373,24.45487026302548,24.660100960355855,601800
2015-02-06,23.684356689453125,24.692509201463526,23.551138439355153,24.660102906173073,1173000
2015-02-09,23.273893356323242,23.749164588034265,23.2054822084197,23.569137564704416,1593400
2015-02-10,23.792377471923828,23.792377471923828,23.252296279142843,23.302703637376133,1594200
