Price,Close,High,Low,Open,Volume
Ticker,SNA,SNA,SNA,SNA,SNA
Date,,,,,
2015-01-02,107.4070816040039,108.51039736447292,106.24861869443014,107.84841512325681,219300
2015-01-05,105.47628784179688,107.21005590600127,105.37384594568886,106.5796035372783,437300
2015-01-06,105.1531753540039,106.0515952506801,103.84497583934083,105.47629001595499,441500
2015-01-07,105.81513977050781,106.44560399963532,105.20831689777589,105.72056231982044,327100
2015-01-08,108.22666931152344,108.36064102468661,106.5086543498584,106.5086543498584,273800
2015-01-09,106.96576690673828,108.7783477515279,106.88696636355327,108.42371524442136,228900
2015-01-12,105.60234832763672,107.3912869984251,105.25559242403676,106.87902958625094,282800
2015-01-13,105.49992370605469,107.59621259562032,104.53846826121955,106.49290898274761,285500
2015-01-14,106.22496795654297,106.31165696827836,104.53060602957112,104.63305995937907,390600
2015-01-15,104.98768615722656,106.98939772848071,104.81430814415236,106.59535897605909,270300
2015-01-16,104.46753692626953,105.12164260318198,103.31695067057807,104.84581070655513,458600
2015-01-20,104.61727142333984,105.12164046181533,103.41939044754562,104.65667769707048,240500
2015-01-21,105.44476318359375,105.71270662540591,103.75038948367187,104.19959939356933,298200
2015-01-22,106.2958984375,106.61900107764116,105.11378217204776,105.6339041897643,349100
2015-01-23,105.87030792236328,106.68202662785993,105.75210113034183,106.33527067112233,219900
2015-01-26,106.31165313720703,106.5638437168435,105.25563214147392,105.5708703660195,258400
2015-01-27,104.93251037597656,105.7442292084974,104.22324546264444,105.2241072171042,262900
2015-01-28,104.04199981689453,105.83092716806617,103.87649824305255,105.18470984068885,283900
2015-01-29,106.57959747314453,106.72144564050393,103.7661552361088,103.78192015196232,231100
2015-01-30,104.58578491210938,106.38260090086554,104.39664195667345,106.02795635628443,348500
2015-02-02,103.6321792602539,103.72674470127848,101.77231609442683,103.39575363258555,870300
2015-02-03,104.96401977539062,105.09799147626815,103.8055451573906,103.98679957327128,431100
2015-02-04,103.59278869628906,104.76702854256636,103.0569017490648,104.75914007121327,591800
2015-02-05,110.07079315185547,111.27655087625145,107.05245460496643,107.05245460496643,1141300
2015-02-06,111.11103057861328,111.63904096329908,110.26778203695424,111.11890702312282,618900
2015-02-09,111.04011535644531,112.30104417121814,110.79581325454632,111.11892791678426,512000
2015-02-10,112.06462097167969,112.17495134350754,110.87462824517155,111.82819531058897,344400
2015-02-11,112.51377868652344,112.82900473820246,111.36318075019923,112.0724574041316,437400
2015-02-12,114.02696228027344,114.10576283378525,112.99458243591266,113.08127146235348,260500
2015-02-13,114.58645629882812,115.03566621690491,113.56196523499717,113.8062673202217,385200
2015-02-17,114.61006927490234,114.98835501489016,113.68802033075315,114.6337226556181,271500
2015-02-18,114.5785903930664,115.00414696371472,113.79838931758441,114.27124064062356,333800
2015-02-19,114.69678497314453,114.86228652608185,113.86142481333566,114.24758708678448,209600
2015-02-20,115.52726745605469,115.62217850787215,113.18603967148441,114.47529237854137,247800
2015-02-23,115.32952880859375,115.60636880361787,114.74422789313948,115.49563521941933,179700
2015-02-24,116.10469055175781,116.45271391600656,114.85498784422207,115.08436029662697,305500
2015-02-25,117.12504577636719,117.38606332830281,115.96233671277193,115.96233671277193,452400
2015-02-26,116.43690490722656,117.2278627198537,116.08096423629762,117.16458464655652,294900
2015-02-27,116.45269775390625,116.83236613624369,115.85947948419266,116.6267094118801,362700
2015-03-02,117.2911148071289,117.31485464222466,116.08886776430815,116.94310354887467,252400
2015-03-03,116.99848175048828,117.06966505921359,116.42899114256825,117.06175982570817,323100
